g	N	MaxInNode	Curr	RCS	Niter	Time (ms)	Mode
0.50	328	-	0.157354706	38.411483834	10	118.848	DIR
0.75	808	-	0.164011251	97.422383586	11	900.835	DIR
1.00	1464	-	0.203912158	137.272220752	12	3354.975	DIR
1.50	3268	20	0.275154208	354.506709483	50	2521.412	FMM
2.00	5964	30	0.306766407	723.468767165	25	5353.017	FMM
3.00	13196	30	0.403842333	1993.687186766	54	12918.361	FMM
4.00	23636	35	0.488781722	4152.213762104	34	21360.090	FMM
5.00	37157	45	0.573613773	7377.714604401	33	50590.565	FMM
6.00	53651	30	0.650231882	11673.418439738	69	67970.369	FMM
7.00	72977	35	0.724642432	17495.932407704	51	82942.838	FMM
8.00	94129	35	0.787883001	24388.067634449	49	119180.680	FMM
9.00	118912	38	0.859522784	33370.245005338	55	159413.051	FMM
10.00	146542	42	0.928641020	43739.948664340	56	217556.376	FMM
