g	N	MaxInNode	Curr	RCS	Niter	Time (ms)	Mode
0.50	328	-	0.138816589	72.60862751	10	101.43	DIR
0.75	808	-	0.159856511	160.2363277	11	746.592	DIR
1.00	1464	-	0.18136234	302.264454	12	2805.478	DIR
1.50	3268	20	0.289686064	1155.364945	42	2521.412	FMM
2.00	5964	30	0.33351427	2463.889023	25	4040.247	FMM
3.00	13196	30	0.479926049	8379.143741	53	12317.381	FMM
4.00	23636	35	0.625586628	19939.63198	33	19515.285	FMM
5.00	37157	45	0.774012559	38978.86441	33	43876.948	FMM
6.00	53651	30	0.923737224	67694.72237	71	62802.368	FMM
7.00	72977	35	1.06942391	107672.5858	51	74573.998	FMM
8.00	94129	35	1.205890406	160630.8435	47	105454.588	FMM
9.00	118912	38	1.34758997	227942.5467	46	152434.89	FMM
10.00	146542	42	1.490636938	313248.2369	80	189333.656	FMM
